pole_id,expected_vegetation,expected_guy_guard,pole_type,has_conduit_riser,area
P0001,No,Yes,Wood,No,Rural
P0002,Yes,Yes,Wood,No,Rural
P0003,No,No,Steel,Yes,Urban
P0004,Yes,No,Wood,No,Suburban
P0005,No,Yes,Steel,Yes,Urban
P0006,No,Yes,Wood,No,Suburban
P0007,Yes,Yes,Wood,Yes,Rural
P0008,No,No,Steel,No,Urban
P0009,Yes,No,Wood,No,Rural
P0010,No,Yes,Steel,Yes,Suburban
P0011,No,Yes,Wood,No,Urban
P0012,Yes,Yes,Wood,Yes,Suburban
P0013,No,No,Steel,No,Rural
P0014,Yes,No,Wood,No,Urban
P0015,No,Yes,Steel,Yes,Rural
P0016,Yes,Yes,Wood,No,Suburban
P0017,No,No,Steel,No,Urban
P0018,Yes,Yes,Wood,Yes,Rural
P0019,No,Yes,Steel,Yes,Suburban
P0020,Yes,No,Wood,No,Urban